ФОРМУЛА ПРИБЫЛИ — ОРИГАМИ МЕБЕЛЬ (2025-2026);;
;;
Показатель;Значение;Формула / комментарий
ПРИБЫЛЬ;72 136 514;R×M − TC
Revenue (R);238 104 327;АКБ × LTV
Маржинальность (M);35,0%;~35%
Gross Profit (R×M);83 336 514;238.1M × 35%
Total Costs (overhead);11 200 000;FC + Admin + Sales
;;
▬▬▬ ЛЕВАЯ ВЕТКА: КЛИЕНТСКАЯ БАЗА ▬▬▬;;
L (лиды);30;Вручную подсчитано
C (конверсия);90,0%;
WtB = L×C;27;30 × 0.9
Отток1 (out-of-stock + scoring);13;9 + 4
КБ = WtB − Отток1;14;27 − 13
Отток 2;7;Не купят снова
АКБ новая = КБ − Отток2;7;14 − 7
АКБ с прошлых годов;12;Повторные
АКБ ТОТАЛ;19;7 + 12
;;
▬▬▬ ПРАВАЯ ВЕТКА: LTV (общий) ▬▬▬;;
SKU (ср.категорий в проекте);3,90;~4 категории на проект
QSKU (ср.УЕ на 1 SKU);5,59;Σ УЕ проекта / SKU проекта
D = SKU × QSKU;21,80;3.9 × 5.59 = 21.8 УЕ
Pu (ср.стоимость 1 УЕ);176 165;P / D
P = Pu × D;3 840 392;176,165 × 21.8
Qs (сделок на клиента);3,26;62 / 19
LTV = P × Qs;12 531 807;3,840,392 × 3.26
Нормализация единиц;;1шт=1УЕ, 3м²=1УЕ, 3пог.м=1УЕ
;;
▬▬▬ LTV ГОС. (БМ Групп + Госрезиденция) ▬▬▬;;
  Клиентов гос.;2;
  Проектов гос.;9;
  SKU гос. (категорий/проект);4,80;Крупные объекты — больше категорий
  QSKU гос. (УЕ на 1 SKU);6,50;Больше единиц в каждой категории
  D гос. = SKU×QSKU;31,20;4.8 × 6.50
  Pu гос. (сом/УЕ);566 259;Премиальный уровень
  P гос. = Pu×D;17 667 275;566,259 × 31.2
  Qs гос.;4,50;9 / 2
  LTV гос. = P×Qs;79 502 740;17,667,275 × 4.5
  Revenue гос.;159 005 479;66.8% от общего
;;
▬▬▬ LTV КОММЕРЦИЯ (11 клиентов) ▬▬▬;;
  Клиентов комм.;11;Куликов,Мбанк,ЕОН,Поль,Дамвидео...
  Проектов комм.;49;
  SKU комм. (категорий/проект);3,70;Стандартный набор категорий
  QSKU комм. (УЕ на 1 SKU);5,30;Средний объём
  D комм. = SKU×QSKU;19,60;3.7 × 5.30
  Pu комм. (сом/УЕ);71 508;Массовый сегмент
  P комм. = Pu×D;1 401 556;71,508 × 19.6
  Qs комм.;4,45;49 / 11
  LTV комм. = P×Qs;6 243 295;1,401,556 × 4.45
  Revenue комм.;68 676 248;28.8% от общего
;;
▬▬▬ LTV ЧАСТНЫЕ (3 клиента) ▬▬▬;;
  Клиентов частн.;3;Арзымат, Арсен, Рита
  Проектов частн.;4;
  SKU частн. (категорий/проект);3,50;Квартиры — разнообразный набор
  QSKU частн. (УЕ на 1 SKU);6,29;Много единиц «под ключ»
  D частн. = SKU×QSKU;22,00;3.5 × 6.29
  Pu частн. (сом/УЕ);118 439;Средний ценовой сегмент
  P частн. = Pu×D;2 605 650;118,439 × 22.0
  Qs частн.;1,33;4 / 3 (почти не возвращаются)
  LTV частн. = P×Qs;3 474 200;2,605,650 × 1.33
  Revenue частн.;10 422 600;4.4% от общего
;;
▬▬▬ РАСХОДЫ ▬▬▬;;
FC (постоянные);6 000 000;Аренда, оборудование
Admin;5 000 000;
Sales;200 000;
CAC (90% от 200K);180 000;Привлечение
CRC (10% от 200K);20 000;Удержание
COGS (65% Revenue, в составе маржи);154 767 813;
  DL 30%;71 431 298;Трудозатраты
  RM 40%;95 241 731;Сырьё и материалы
  Logistics 3%;7 143 130;
;;
▬▬▬ МЕТРИКИ ▬▬▬;;
Retention Rate;68,8%;11/16 клиентов повторных
Net margin;30,3%;Прибыль / Revenue
Фактических клиентов;16;Из таблиц проектов
